"House Name","House Letter","Sample Number","Sample Date","Sample Time","Copper Result","Iron Result","Lead Result"
49,"bs","S14bs","2016-02-16","10:07",6.5,207,190
54,"ai","DS01ai","2016-02-09","14:55",3.5,1100,0.72
54,"ai","S01ai","2016-02-09","14:49",72,200,8.3
54,"ai","S02ai","2016-02-09","14:49",48,260,6.5
54,"ai","S03ai","2016-02-09","14:49",19,180,5.1
54,"ai","S04ai","2016-02-09","14:49",25,190,5.6
54,"ai","S05ai","2016-02-09","14:49",27,150,4.6
54,"ai","S06ai","2016-02-09","14:49",27,150,4.3
54,"ai","S07ai","2016-02-09","14:49",26,180,4.7
54,"ai","S08ai","2016-02-09","14:49",25,220,5.1
54,"ai","S09ai","2016-02-09","14:49",23,640,15
54,"ai","S10ai","2016-02-09","14:49",20,3600,56
54,"ai","S11ai","2016-02-09","14:49",18,9100,79
54,"ai","S12ai","2016-02-09","14:49",14,6000,37
54,"ai","S13ai","2016-02-09","14:49",11,1400,4.8
54,"ai","S14ai","2016-02-09","14:49",10,990,1.5
61,"bf","DS03bf","2016-02-13","09:15",3.1,80,1.69
61,"bf","S010bf","2016-02-13","09:07",5.25,80,6.44
61,"bf","S011bf","2016-02-13","09:07",5.05,106,6.89
61,"bf","S012bf","2016-02-13","09:07",4.63,102,5.36
61,"bf","S013bf","2016-02-13","09:07",4.34,80,2.37
61,"bf","S014bf","2016-02-13","09:07",4.34,80,2.15
61,"bf","S01bf","2016-02-13","09:07",114,80,4.24
61,"bf","S02bf","2016-02-13","09:07",210,80,7.1
61,"bf","S03bf","2016-02-13","09:07",70.2,80,6.74
61,"bf","S04bf","2016-02-13","09:07",22.4,80,4.7
61,"bf","S05bf","2016-02-13","09:07",14.9,80,5.3
61,"bf","S06bf","2016-02-13","09:07",9.49,80,3.28
61,"bf","S07bf","2016-02-13","09:07",7.51,80,3.58
61,"bf","S08bf","2016-02-13","09:07",6.25,80,4.15
61,"bf","S09bf","2016-02-13","09:07",5.8,80,4.78
62,"ah","DS03ah","2016-02-09","10:24",7.7,570,1.6
62,"ah","S01ah","2016-02-09","10:15",240,140,72
62,"ah","S02ah","2016-02-09","10:15",220,100,8
62,"ah","S03ah","2016-02-09","10:15",200,180,16
62,"ah","S04ah","2016-02-09","10:15",140,150,8
62,"ah","S05ah","2016-02-09","10:15",72,110,5.2
62,"ah","S06ah","2016-02-09","10:15",63,100,5.3
62,"ah","S07ah","2016-02-09","10:15",49,100,4.9
62,"ah","S08ah","2016-02-09","10:15",23,100,4.4
62,"ah","S09ah","2016-02-09","10:15",15,100,3.8
62,"ah","S10ah","2016-02-09","10:15",15,100,5.2
62,"ah","S11ah","2016-02-09","10:15",15,100,11
62,"ah","S12ah","2016-02-09","10:15",11,100,14
62,"ah","S13ah","2016-02-09","10:15",10,100,15
62,"ah","S14ah","2016-02-09","10:15",10,220,10
63,"cc","DS03cc","2016-02-18","07:18",2,80,1
63,"cc","S01cc","2016-02-18","07:13",162,80,5.61
63,"cc","S02cc","2016-02-18","07:13",104,92,14
63,"cc","S03cc","2016-02-18","07:13",34,304,20.6
63,"cc","S04cc","2016-02-18","07:13",31.2,320,25.1
63,"cc","S05cc","2016-02-18","07:13",19,194,17
63,"cc","S06cc","2016-02-18","07:13",17,168,14.9
63,"cc","S07cc","2016-02-18","07:13",14.8,180,14.4
63,"cc","S08cc","2016-02-18","07:13",13.1,164,13.3
63,"cc","S09cc","2016-02-18","07:13",12.3,148,14.2
63,"cc","S10cc","2016-02-18","07:13",12.7,137,12.9
63,"cc","S11cc","2016-02-18","07:13",13.2,124,14.1
63,"cc","S12cc","2016-02-18","07:13",14.9,125,13.9
63,"cc","S13cc","2016-02-18","07:13",16.3,190,13
63,"cc","S14cc","2016-02-18","07:13",13.2,156,9.84
74,"b","DS03b","2016-01-28","15:45",8.42,80,0.5
74,"b","S01b","2016-01-28","15:33",190,80,1.41
74,"b","S02b","2016-01-28","15:33",493,80,0.923
74,"b","S03b","2016-01-28","15:33",310,80,1.47
74,"b","S04b","2016-01-28","15:33",222,80,1.97
74,"b","S05b","2016-01-28","15:33",165,81.1,2.68
74,"b","S06b","2016-01-28","15:33",45,181,1.69
74,"b","S07b","2016-01-28","15:33",17.7,150,0.964
74,"b","S08b","2016-01-28","15:33",16.2,251,1.04
74,"b","S09b","2016-01-28","15:33",17.8,189,2.39
74,"b","S10b","2016-01-28","15:33",25.3,94.6,7.1
74,"b","S11b","2016-01-28","15:33",16,80,4.7
74,"b","S12b","2016-01-28","15:33",12.8,80,1.08
74,"b","S13b","2016-01-28","15:33",11.8,80,0.514
74,"b","S14b","2016-01-28","15:33",10.8,80,0.5
79,"u","DS03u","2016-02-05","15:20",8.83,80,4.62
79,"u","S01u","2016-02-05","15:10",123,80,28
79,"u","S02u","2016-02-05","15:10",106,80,10
79,"u","S03u","2016-02-05","15:10",103,157,56.2
79,"u","S04u","2016-02-05","15:10",116,133,44.7
79,"u","S05u","2016-02-05","15:10",149,143,48.4
79,"u","S06u","2016-02-05","15:10",171,195,79.4
79,"u","S07u","2016-02-05","15:10",127,124,75.1
79,"u","S08u","2016-02-05","15:10",58.4,87.3,38.4
79,"u","S09u","2016-02-05","15:10",40.7,80,29.6
79,"u","S10u","2016-02-05","15:10",33.1,80,25.9
79,"u","S11u","2016-02-05","15:10",25.9,80,25
79,"u","S12u","2016-02-05","15:10",21.1,80,22.3
79,"u","S13u","2016-02-05","15:10",19.2,80,21.3
79,"u","S14u","2016-02-05","15:10",17.5,80,21
80,"f","DS03f","2016-01-30","10:34",106,80,3
80,"f","S01f","2016-01-30","10:12",134,111,12.4
80,"f","S02f","2016-01-30","10:12",119,80,7.85
80,"f","S03f","2016-01-30","10:12",87.2,385,17.3
80,"f","S04f","2016-01-30","10:12",58.1,152,12.6
80,"f","S05f","2016-01-30","10:12",44,111,10.4
80,"f","S06f","2016-01-30","10:12",39.6,81.8,8.89
80,"f","S07f","2016-01-30","10:12",57.9,80,8.41
80,"f","S08f","2016-01-30","10:12",36.2,80,8.25
80,"f","S09f","2016-01-30","10:12",42.9,80,8.1
80,"f","S10f","2016-01-30","10:12",47.4,80,8.12
80,"f","S11f","2016-01-30","10:12",39.8,80,7.87
80,"f","S12f","2016-01-30","10:12",43.5,80,8.09
80,"f","S13f","2016-01-30","10:12",50.2,80,9.36
80,"f","S14f","2016-01-30","10:21",52.1,80,9.62
81,"d","S01d","2016-01-28","18:35",47.2,80,1.19
81,"d","S02d","2016-01-28","18:35",56.4,80,11
81,"d","S03d","2016-01-28","18:35",39.7,80,5.77
81,"d","S04d","2016-01-28","18:35",26.9,80,4.78
81,"d","S05d","2016-01-28","18:35",16,80,4
81,"d","S06d","2016-01-28","18:35",12.8,80,2.45
81,"d","S07d","2016-01-28","18:35",11.6,80,1.81
81,"d","S08d","2016-01-28","18:35",10.1,80,1.71
81,"d","S09d","2016-01-28","18:35",10.5,80,1.74
81,"d","S10d","2016-01-28","18:35",12.8,149,1.54
81,"d","S11d","2016-01-28","18:35",22.3,571,1.76
81,"d","S12d","2016-01-28","18:35",32.6,1110,1.72
81,"d","S13d","2016-01-28","18:35",17.5,645,2.39
81,"d","S14d","2016-01-28","18:39",12.2,185,1.4
81,"d","DS03d","2016-01-28","18:45",6.01,80,0.692
83,"v","DS03v","2016-02-05","13:23",8.45,112,1.44
83,"v","S01v","2016-02-05","13:13",137,150,1.23
83,"v","S02v","2016-02-05","13:13",205,106,2.23
83,"v","S03v","2016-02-05","13:13",208,161,1.77
83,"v","S04v","2016-02-05","13:13",179,223,0.715
83,"v","S05v","2016-02-05","13:13",63.3,252,0.647
83,"v","S06v","2016-02-05","13:13",111,201,9.07
83,"v","S07v","2016-02-05","13:13",152,261,13.4
83,"v","S08v","2016-02-05","13:13",59.2,180,6.07
83,"v","S09v","2016-02-05","13:13",21.2,125,3.24
83,"v","S10v","2016-02-05","13:13",18.9,117,3.39
83,"v","S11v","2016-02-05","13:13",22,121,2.86
83,"v","S12v","2016-02-05","13:13",16.4,116,3.19
83,"v","S13v","2016-02-05","13:13",14.2,125,2.21
83,"v","S14v","2016-02-05","13:13",13.1,128,2.18
84,"bb","DS03bb","2016-02-12","09:35",5.98,258,0.5
84,"bb","S01bb","2016-02-12","09:23",221,183,2.04
84,"bb","S02bb","2016-02-12","09:23",308,149,1.97
84,"bb","S03bb","2016-02-12","09:23",1120,3380,110
84,"bb","S04bb","2016-02-12","09:23",961,3260,77.4
84,"bb","S05bb","2016-02-12","09:23",415,1400,29.6
84,"bb","S06bb","2016-02-12","09:23",246,839,16.4
84,"bb","S07bb","2016-02-12","09:23",163,627,15.7
84,"bb","S08bb","2016-02-12","09:23",139,517,9.12
84,"bb","S09bb","2016-02-12","09:23",181,499,8.54
84,"bb","S10bb","2016-02-12","09:23",117,392,6.81
84,"bb","S11bb","2016-02-12","09:23",83.5,345,5.4
84,"bb","S12bb","2016-02-12","09:23",73.4,450,5.71
84,"bb","S13bb","2016-02-12","09:23",69.1,428,7.2
84,"bb","S14bb","2016-02-12","09:23",69.7,426,4.56
86,"h","DS03h","2016-02-01","09:42",8.02,214,0.5
86,"h","S01h","2016-02-01","09:23",88.6,80,0.725
86,"h","S02h","2016-02-01","09:23",82.4,80,2.77
86,"h","S03h","2016-02-01","09:23",91.2,89.5,2.97
86,"h","S04h","2016-02-01","09:23",62.1,80.7,1.63
86,"h","S05h","2016-02-01","09:23",35.8,80,1.3
86,"h","S06h","2016-02-01","09:23",26.8,80,0.907
86,"h","S07h","2016-02-01","09:23",24.1,80,0.76
86,"h","S08h","2016-02-01","09:23",23.2,80,0.713
86,"h","S09h","2016-02-01","09:23",22.9,80,0.717
86,"h","S10h","2016-02-01","09:23",18.3,80,0.601
86,"h","S11h","2016-02-01","09:23",16,80,0.563
86,"h","S12h","2016-02-01","09:23",12.4,159,0.558
86,"h","S13h","2016-02-01","09:23",10.3,194,0.535
86,"h","S14h","2016-02-01","09:23",10.4,181,0.641
88,"ct","DS03ct","2016-02-20","07:20",1,80,0.581
88,"ct","S01ct","2016-02-20","07:14",40.1,80,2.09
88,"ct","S02ct","2016-02-20","07:14",3.62,119,2.21
88,"ct","S03ct","2016-02-20","07:14",10.6,146,9.95
88,"ct","S04ct","2016-02-20","07:14",6.86,268,20.3
88,"ct","S05ct","2016-02-20","07:14",4.82,140,12.2
88,"ct","S06ct","2016-02-20","07:14",2.32,86.7,5.87
88,"ct","S07ct","2016-02-20","07:14",4.2,91,7.2
88,"ct","S08ct","2016-02-20","07:14",1.72,80,3.77
88,"ct","S09ct","2016-02-20","07:14",2.06,80,3.13
88,"ct","S10ct","2016-02-20","07:14",1.45,97.3,2.86
88,"ct","S11ct","2016-02-20","07:14",1.78,80,2.5
88,"ct","S12ct","2016-02-20","07:14",1.25,80,1.88
88,"ct","S13ct","2016-02-20","07:14",1.14,80,1.88
88,"ct","S14ct","2016-02-20","07:14",1.64,80,2.24
90,"bk","S01bk","2016-02-16","08:12",66.5,83,1.2
90,"bk","S02bk","2016-02-16","08:12",50.1,50,0.37
90,"bk","S03bk","2016-02-16","08:12",28.2,50,0.55
90,"bk","S04bk","2016-02-16","08:12",13.5,50,0.35
90,"bk","S05bk","2016-02-16","08:12",10.1,50,0.35
90,"bk","S06bk","2016-02-16","08:12",7.8,50,0.35
90,"bk","S07bk","2016-02-16","08:12",7.6,50,0.35
90,"bk","S08bk","2016-02-16","08:12",7.1,50,0.35
90,"bk","S09bk","2016-02-16","08:12",6,50,0.35
90,"bk","S10bk","2016-02-16","08:12",4.6,50,0.35
90,"bk","S11bk","2016-02-16","08:12",4.3,50,0.35
90,"bk","S12bk","2016-02-16","08:12",5.6,50,0.35
90,"bk","S13bk","2016-02-16","08:12",4.1,50,0.35
90,"bk","S14bk","2016-02-16","08:12",4.3,50,0.35
90,"bk","DS02bk","2016-02-16","08:19",3.5,50,0.35
91,"by","DS03by","2016-02-17","15:59",1.97,80,0.5
91,"by","S01by","2016-02-17","15:50",70.3,80,6.05
91,"by","S02by","2016-02-17","15:50",71.8,80,45.6
91,"by","S03by","2016-02-17","15:50",24.9,80,5.65
91,"by","S04by","2016-02-17","15:50",13.8,80,1.18
91,"by","S05by","2016-02-17","15:50",11.4,80,0.898
91,"by","S06by","2016-02-17","15:50",9.56,80,0.747
91,"by","S07by","2016-02-17","15:50",9.99,80,0.763
91,"by","S09by","2016-02-17","15:50",7.57,80,0.572
91,"by","S08by","2016-02-17","15:50",8.88,80,0.644
91,"by","S10by","2016-02-17","15:50",6.35,80,0.532
91,"by","S11by","2016-02-17","15:50",5.01,80,0.517
91,"by","S12by","2016-02-17","15:50",3.35,80,0.578
91,"by","S13by","2016-02-17","15:50",2.95,80,0.5
91,"by","S14by","2016-02-17","15:50",2.88,80,0.5
95,"aj","DS03aj","2016-02-10","09:16",16.4,224,1.02
95,"aj","S01aj","2016-02-10","09:09",155,140,5.21
95,"aj","S02aj","2016-02-10","09:09",176,165,21.5
95,"aj","S03aj","2016-02-10","09:09",181,524,60.9
95,"aj","S04aj","2016-02-10","09:09",78.6,304,14.8
