,House Name,House Letter,Sample Number,Sample Date,Sample Time,Copper Result,Iron Result,Lead Result,Chloride Result
119,38,bg,S14bg,2016-02-12,15:32,33.7,80.0,0.5,9800.0
120,41,aw,DS03aw,2016-02-11,07:20,10.3,248.0,0.725,9510.0
121,41,aw,S01aw,2016-02-11,07:08,74.6,127.0,2.62,9510.0
122,41,aw,S02aw,2016-02-11,07:08,144.0,131.0,5.44,9510.0
123,41,aw,S03aw,2016-02-11,07:08,109.0,279.0,12.9,9510.0
124,41,aw,S04aw,2016-02-11,07:08,75.1,209.0,6.52,9510.0
125,41,aw,S05aw,2016-02-11,07:08,61.7,178.0,3.89,9510.0
126,41,aw,S06aw,2016-02-11,07:08,47.3,159.0,2.2,9510.0
127,41,aw,S07aw,2016-02-11,07:08,45.4,158.0,1.87,9510.0
128,41,aw,S08aw,2016-02-11,07:08,41.4,164.0,1.58,9510.0
129,41,aw,S09aw,2016-02-11,07:08,27.5,209.0,1.4,9510.0
130,41,aw,S10aw,2016-02-11,07:08,19.1,232.0,1.49,9510.0
131,41,aw,S11aw,2016-02-11,07:08,16.9,242.0,1.37,9510.0
132,41,aw,S12aw,2016-02-11,07:08,16.9,235.0,1.36,9510.0
133,41,aw,S13aw,2016-02-11,07:08,14.9,226.0,1.13,9510.0
134,41,aw,S14aw,2016-02-11,07:08,14.6,229.0,1.1,9510.0
135,44,ac,DS03ac,2016-02-08,11:39,18.0,100.0,3.8,9630.0
136,44,ac,S01ac,2016-02-08,11:30,140.0,100.0,2.7,9630.0
137,44,ac,S02ac,2016-02-08,11:30,110.0,100.0,3.4,9630.0
138,44,ac,S03ac,2016-02-08,11:30,190.0,100.0,6.2,9630.0
139,44,ac,S04ac,2016-02-08,11:30,110.0,100.0,0.5,9630.0
140,44,ac,S05ac,2016-02-08,11:30,41.0,100.0,0.5,9630.0
141,44,ac,S06ac,2016-02-08,11:30,42.0,100.0,0.5,9630.0
142,44,ac,S07ac,2016-02-08,11:30,41.0,100.0,0.5,9630.0
143,44,ac,S08ac,2016-02-08,11:30,37.0,100.0,0.5,9630.0
144,44,ac,S09ac,2016-02-08,11:30,33.0,100.0,0.5,9630.0
145,44,ac,S10ac,2016-02-08,11:30,33.0,100.0,0.5,9630.0
146,44,ac,S11ac,2016-02-08,11:30,32.0,100.0,0.5,9630.0
147,44,ac,S12ac,2016-02-08,11:30,30.0,100.0,0.5,9630.0
148,44,ac,S13ac,2016-02-08,11:30,32.0,100.0,0.5,9630.0
149,44,ac,S14ac,2016-02-08,11:30,31.0,100.0,0.5,9630.0
150,45,y,DS03y,2016-02-07,08:17,5.62,147.0,0.5,9610.0
151,45,y,S01y,2016-02-07,08:09,34.1,80.0,0.5,9610.0
152,45,y,S02y,2016-02-07,08:09,13.5,80.0,0.5,9610.0
153,45,y,S03y,2016-02-07,08:09,32.4,80.0,0.5,9610.0
154,45,y,S04y,2016-02-07,08:09,35.8,80.0,0.5,9610.0
155,45,y,S05y,2016-02-07,08:09,34.9,80.0,0.5,9610.0
156,45,y,S06y,2016-02-07,08:09,29.8,80.0,0.5,9610.0
157,45,y,S07y,2016-02-07,08:09,26.7,80.0,0.5,9610.0
158,45,y,S08y,2016-02-07,08:09,23.6,80.0,0.5,9610.0
159,45,y,S09y,2016-02-07,08:09,23.2,84.4,0.5,9610.0
160,45,y,S10y,2016-02-07,08:09,20.8,90.9,0.5,9610.0
161,45,y,S11y,2016-02-07,08:09,20.7,265.0,0.5,9610.0
162,45,y,S12y,2016-02-07,08:09,15.7,366.0,0.5,9610.0
163,45,y,S13y,2016-02-07,08:09,7.47,168.0,0.5,9610.0
164,45,y,S14y,2016-02-07,08:09,6.7,159.0,0.5,9610.0
165,49,bs,DS03bs,2016-02-16,10:23,3.1,50.0,2.1,9650.0
166,49,bs,S01bs,2016-02-16,10:07,72.4,50.0,1.1,9650.0
167,49,bs,S02bs,2016-02-16,10:07,64.1,111.0,2.9,9650.0
168,49,bs,S03bs,2016-02-16,10:07,23.6,105.0,13.0,9650.0
169,49,bs,S04bs,2016-02-16,10:07,35.0,58.0,2.7,9650.0
170,49,bs,S05bs,2016-02-16,10:07,177.0,722.0,133.0,9650.0
171,49,bs,S06bs,2016-02-16,10:07,122.0,679.0,133.0,9650.0
172,49,bs,S07bs,2016-02-16,10:07,24.0,294.0,47.5,9650.0
173,49,bs,S08bs,2016-02-16,10:07,11.1,136.0,29.9,9650.0
174,49,bs,S09bs,2016-02-16,10:07,7.8,128.0,15.7,9650.0
175,49,bs,S10bs,2016-02-16,10:07,7.2,115.0,16.0,9650.0
176,49,bs,S11bs,2016-02-16,10:07,7.2,222.0,172.0,9650.0
177,49,bs,S12bs,2016-02-16,10:07,10.4,691.0,693.0,9650.0
178,49,bs,S13bs,2016-02-16,10:07,7.3,357.0,327.0,9650.0
179,49,bs,S14bs,2016-02-16,10:07,6.5,207.0,190.0,9650.0
